occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,premisetype,occurenceday
0,4,25.0,20,2,11,1,13,123,0,13
0,5,22.0,163,0,2,1,6,91,1,26
0,9,1.0,126,2,8,0,8,9,1,7
0,1,22.0,164,1,11,3,5,12,0,26
0,7,27.0,53,0,20,1,11,94,1,15
0,1,8.0,62,1,18,1,5,6,0,8
0,8,1.0,66,5,12,0,10,47,2,7
0,0,1.0,8,5,5,0,1,67,1,7
0,0,17.0,12,3,20,1,8,41,1,6
0,3,14.0,33,5,1,3,14,24,0,5
0,3,15.0,35,6,8,0,10,12,3,1
0,3,15.0,35,6,11,1,9,101,1,1
0,3,23.0,57,3,16,0,9,95,0,17
0,5,14.0,36,3,17,0,10,47,3,5
0,5,24.0,58,2,15,0,11,18,1,14
0,5,26.0,37,5,17,0,6,14,4,3
0,6,8.0,59,4,6,0,8,41,1,8
0,6,8.0,59,4,19,0,13,28,1,8
0,6,25.0,39,3,21,0,6,14,2,13
0,10,15.0,60,6,9,1,15,114,1,1
0,10,26.0,61,2,6,0,11,124,0,3
0,10,26.0,61,2,0,1,10,47,0,3
0,10,26.0,61,2,8,0,12,121,1,3
0,1,17.0,63,4,17,0,9,49,3,6
0,2,26.0,3,3,2,0,3,30,3,3
0,2,26.0,3,3,15,1,13,28,1,3
0,2,26.0,3,3,19,2,10,22,3,3
0,2,26.0,3,3,18,2,9,63,3,3
0,0,2.0,47,6,0,1,6,7,0,22
0,0,9.0,48,6,16,0,5,64,3,12
1,11,14.0,147,5,18,1,3,30,0,5
0,3,18.0,165,1,17,0,5,12,1,0
0,4,7.0,133,6,0,1,9,101,0,11
0,3,22.0,166,6,4,1,9,10,4,26
1,9,23.0,167,2,3,1,10,47,2,17
0,4,1.0,144,3,21,1,12,100,0,7
0,4,7.0,133,6,1,0,15,112,4,11
0,8,8.0,76,5,3,0,7,20,2,8
0,5,23.0,168,1,13,0,8,118,1,17
0,8,27.0,78,2,7,2,8,118,3,15
0,4,2.0,141,0,10,0,10,22,1,22
0,4,7.0,133,6,14,0,4,45,3,11
0,10,25.0,56,1,18,0,14,125,0,13
0,6,7.0,169,2,2,0,5,6,2,11
1,9,23.0,167,2,9,2,6,126,3,17
0,4,2.0,141,0,13,1,13,13,1,22
0,4,10.0,79,1,21,1,14,97,4,4
0,10,25.0,56,1,9,0,10,12,3,13
0,2,26.0,3,3,18,0,15,39,1,3
1,11,30.0,170,3,19,0,2,3,4,19
0,0,2.0,47,6,11,1,1,35,4,22
0,4,9.0,18,0,3,0,7,20,4,12
0,0,9.0,48,6,12,0,2,60,3,12
0,4,16.0,25,0,0,0,8,33,1,2
0,4,9.0,18,0,1,2,9,9,2,12
0,0,9.0,48,6,14,0,12,61,2,12
1,2,21.0,108,0,7,3,14,24,3,21
0,1,2.0,171,2,12,3,8,9,3,22
0,4,9.0,18,0,4,0,9,10,4,12
0,4,16.0,25,0,9,2,8,41,3,2
1,0,20.0,172,1,9,3,11,117,0,29
0,6,14.0,173,2,16,0,0,12,3,5
0,4,30.0,139,0,2,1,7,120,4,19
0,4,17.0,19,1,11,0,7,57,0,6
0,10,14.0,174,5,13,1,0,77,1,5
0,11,11.0,175,2,1,3,5,64,3,9
0,1,6.0,97,3,9,1,8,19,0,23
0,1,17.0,63,4,16,0,5,12,0,6
0,4,17.0,19,1,22,0,5,6,3,6
0,4,6.0,176,5,18,0,4,82,1,23
0,9,12.0,177,3,2,0,14,25,1,28
0,9,12.0,177,3,4,1,13,48,1,28
0,9,20.0,119,0,17,1,10,47,1,29
0,10,30.0,157,3,16,1,11,124,0,19
0,4,11.0,121,2,13,0,8,41,1,9
0,0,5.0,122,1,12,1,1,35,0,24
1,1,18.0,82,4,4,0,14,25,0,0
1,0,20.0,172,1,22,0,2,2,4,29
0,4,4.0,178,2,14,3,11,117,1,30
0,3,2.0,120,3,12,3,5,12,0,22
0,9,27.0,179,0,12,0,4,127,1,15
1,9,1.0,126,1,16,0,0,53,3,7
1,3,1.0,180,5,17,0,8,9,1,7
1,9,20.0,119,3,3,1,9,87,2,29
0,7,12.0,181,3,4,1,3,79,4,28
